Date,^DJI,MMM,AXP,T,BA,CAT,CVX,CSCO,KO,XOM,GE,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,DIS
2012-11-01,13025.580078125,74.70221710205078,50.0587158203125,22.733808517456055,61.391334533691406,67.33316802978516,78.91194152832031,14.948639869689941,29.93624496459961,67.38008880615234,16.13786506652832,105.34965515136719,55.112159729003906,144.53660583496094,15.626832008361816,56.537994384765625,33.35187530517578,69.26419067382812,34.97116470336914,22.333173751831055,21.00355339050293,19.16402816772461,55.74442672729492,59.5144157409668,67.3747787475586,48.07457733154297,31.557781219482422,33.38203430175781,59.9140510559082,44.462772369384766
2012-12-01,13104.1396484375,76.76846313476562,51.473609924316406,22.45404815673828,62.66680908203125,70.7851333618164,81.4373779296875,15.64856243133545,28.814197540283203,66.5788345336914,16.030935287475586,114.57157135009766,52.62087631225586,146.29953002929688,16.63493537902832,57.340614318847656,35.698184967041016,70.8255844116211,32.31873321533203,22.592805862426758,22.23601722717285,19.38254737854004,54.19573211669922,60.35475158691406,69.45533752441406,47.942012786865234,30.949792861938477,34.11513900756836,56.76112365722656,44.57916259765625
2013-01-01,13860.580078125,83.13482666015625,52.664634704589844,23.17343521118164,61.427791595458984,78.16836547851562,86.7164535522461,16.3812198638916,29.60112953186035,69.20967864990234,17.177724838256836,132.80459594726562,56.934349060058594,155.09814453125,16.973772048950195,60.46531295776367,38.19876480102539,76.51026916503906,34.46977996826172,23.2187442779541,23.699403762817383,21.08277130126953,59.99928283691406,66.34718322753906,74.16416931152344,48.99343490600586,31.19300079345703,35.5397834777832,58.514522552490234,48.98192596435547
2013-02-01,14054.490234375,85.9872817993164,55.84995651245117,24.22752571105957,63.94744873046875,73.3856430053711,88.22256469726562,16.612167358398438,30.777542114257812,68.88656616210938,17.902450561523438,134.51113891601562,58.27859115600586,153.38726806640625,16.844684600830078,62.256717681884766,39.98981475830078,77.00006103515625,34.05534744262695,23.51479148864746,23.879175186157227,21.337202072143555,61.306583404541016,68.00459289550781,76.6879653930664,47.43160629272461,33.66958236694336,35.70407485961914,59.20881652832031,49.62738037109375
2013-03-01,14578.5400390625,88.44002532958984,60.62168502807617,24.753767013549805,71.84850311279297,69.09548950195312,90.17686462402344,16.64401626586914,32.144718170166016,69.76020812988281,17.977096557617188,132.61595153808594,59.36759948730469,163.59715270996094,17.808521270751953,67.22362518310547,38.79633712768555,80.6888198852539,35.2269172668457,24.400293350219727,26.07576560974121,22.498777389526367,62.0147705078125,71.19258117675781,79.6003646850586,50.768226623535156,35.56544494628906,38.549312591552734,62.59674072265625,51.636470794677734
2013-04-01,14839.7998046875,87.10896301269531,61.475372314453125,25.27326774597168,76.50172424316406,67.2681884765625,92.59783935546875,16.659948348999023,33.89060592651367,68.89315032958984,17.33172607421875,131.64266967773438,62.748008728027344,155.34451293945312,19.529033660888672,70.27437591552734,40.06339645385742,82.67184448242188,37.81955337524414,28.229629516601562,28.10402488708496,22.662498474121094,61.78137969970703,72.63441467285156,77.77713012695312,53.388885498046875,39.009822845458984,38.236087799072266,65.4336929321289,57.12739944458008
2013-05-01,15115.5703125,91.734375,68.23715209960938,23.88957977294922,82.8705825805664,68.60383605957031,93.15948486328125,19.363588333129883,32.01713943481445,70.03889465332031,18.132600784301758,146.0713653564453,67.29051208496094,159.54750061035156,19.798112869262695,69.40860748291016,44.9037971496582,78.16350555419922,37.57815170288086,29.764772415161133,27.246763229370117,21.228057861328125,62.22679901123047,71.19722747802734,80.85276794433594,55.79418182373047,35.4489860534668,40.43320083618164,63.00898361206055,57.3455810546875
2013-06-01,14909.599609375,91.4876937866211,67.38095092773438,24.169513702392578,86.1737289428711,65.95719909667969,90.53685760498047,19.54020118713379,32.11320495605469,70.42986297607422,18.031522750854492,136.74179077148438,66.27249908447266,147.264892578125,19.943462371826172,71.32599639892578,43.42318344116211,80.75813293457031,37.37697982788086,29.664308547973633,28.32844352722168,22.01816177368164,62.41326904296875,67.96559143066406,79.626953125,58.33312225341797,36.809043884277344,41.785438537597656,63.09046936035156,57.409217834472656
2013-07-01,15499.5400390625,98.247802734375,66.4886245727539,24.080751419067383,88.41134643554688,66.29303741455078,96.31302642822266,20.543703079223633,32.310997009277344,73.08026123046875,19.106487274169922,148.29592895507812,67.94207763671875,150.29324340820312,19.21091079711914,77.6727066040039,45.841522216796875,80.0076675415039,39.117000579833984,27.34544563293457,27.990352630615234,22.977184295654297,65.09657287597656,71.48724365234375,90.44778442382812,65.47138977050781,36.18019104003906,40.47299575805664,66.01251983642578,58.77285385131836
2013-08-01,14810.3095703125,95.0267105102539,65.00991821289062,23.39136505126953,87.41871643066406,66.457275390625,92.13583374023438,18.84493637084961,30.779277801513672,67.94320678710938,18.142141342163086,137.537353515625,64.03907012939453,140.4530029296875,18.091510772705078,71.78289031982422,41.867286682128906,76.97310638427734,38.40237808227539,28.685232162475586,27.945873260498047,22.356218338012695,63.615455627441406,68.36424255371094,85.7613525390625,64.47383880615234,34.9959831237793,39.88079833984375,61.81156539916992,55.30012130737305
